p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SFPQ	2.07216645608003e-32	0.305188452239506	0.784	0.649	3.25102195294396e-28	0	SFPQ
EIF4A1	4.096930256166e-32	0.336238125298242	0.676	0.517	6.42767387889884e-28	0	EIF4A1
SCAF11	4.85737984775708e-32	0.315130235539597	0.655	0.492	7.62074324314609e-28	0	SCAF11
RBM6	6.27563441761478e-32	0.257970598992728	0.448	0.272	9.84584283779583e-28	0	RBM6
NR4A2	1.38871386751788e-31	0.289931217455574	0.333	0.17	2.1787531867488e-27	0	NR4A2
BAZ2B	9.47134785710224e-31	0.263622861018295	0.41	0.243	1.48595976530077e-26	0	BAZ2B
TMEM165	9.52931024690627e-31	0.286625394705211	0.578	0.403	1.49505348463712e-26	0	TMEM165
SSR1	1.04635419786242e-30	0.268052865392029	0.479	0.308	1.64162510102635e-26	0	SSR1
STK26	2.27980609543956e-30	0.264576158629081	0.445	0.28	3.57678778313512e-26	0	STK26
SEC63	3.32145247412771e-30	0.260276555175811	0.461	0.288	5.21102678665896e-26	0	SEC63
FUS	6.73611558921077e-30	0.305477306705894	0.783	0.656	1.05682917479128e-25	0	FUS
STK17B	1.11178263078622e-29	0.307913526847427	0.508	0.34	1.74427576944051e-25	0	STK17B
TIA1	1.26682324750232e-29	0.252033806612867	0.408	0.246	1.98751899300639e-25	0	TIA1
SIAH2	1.81590219460787e-29	0.295776153295822	0.489	0.324	2.84896895312028e-25	0	SIAH2
ABRACL	3.32730524474111e-29	0.298784943079573	0.671	0.527	5.22020919847433e-25	0	ABRACL
YIPF4	4.67578296432025e-29	0.254551150188605	0.418	0.254	7.33583589272204e-25	0	YIPF4
VAMP2	1.78658467490717e-28	0.301744850752728	0.711	0.576	2.80297269646185e-24	0	VAMP2
DOCK8	4.15994699518952e-28	0.259267821771732	0.446	0.284	6.52654084075284e-24	0	DOCK8
GPBP1	8.81389153236986e-28	0.271636687820799	0.601	0.439	1.38281144251351e-23	0	GPBP1
ACAP2	1.55871294101796e-27	0.250281182998109	0.451	0.293	2.44546473316308e-23	0	ACAP2
ZCCHC7	2.06326956823211e-27	0.273212402023231	0.858	0.752	3.23706362559936e-23	0	ZCCHC7
ATP6AP2	2.28341616335738e-27	0.253310913668815	0.606	0.439	3.58245161869139e-23	0	ATP6AP2
USP16	2.3381354821745e-27	0.291940374470423	0.587	0.434	3.66830075798358e-23	0	USP16
RCSD1	6.169878723276e-27	0.277516980734605	0.866	0.77	9.67992272894772e-23	0	RCSD1
PGK1	6.39084793707083e-27	0.265408242689957	0.846	0.754	1.00266013284704e-22	0	PGK1
LINC01420	8.17852618174585e-27	0.274550664870389	0.738	0.599	1.28312897265411e-22	0	LINC01420
TSPO	1.71366444186772e-26	0.276112674002445	0.755	0.629	2.68856814284626e-22	0	TSPO
JMJD1C	3.70111396721762e-26	0.282235003444444	0.603	0.447	5.80667770316772e-22	0	JMJD1C
JUND	6.31627744330922e-26	0.260161111914703	0.779	0.641	9.90960768080784e-22	0	JUND
DNAJA1	7.01434950760435e-26	0.2996620109647	0.685	0.559	1.10048129424805e-21	0	DNAJA1
CHD9	8.96788481706214e-26	0.267124230341468	0.621	0.474	1.40697144894888e-21	0	CHD9
IDI1	1.34815857635e-25	0.266571955286813	0.518	0.367	2.11512599043551e-21	0	IDI1
TPM3	5.3326736296786e-25	0.282381695249258	0.808	0.718	8.36643165760275e-21	0	TPM3
CHD4	7.73623401292318e-25	0.261027377780699	0.518	0.366	1.21373775428752e-20	0	CHD4
TMEM59	1.40463932597039e-24	0.250227043137493	0.656	0.506	2.20373863851495e-20	0	TMEM59
BBX	1.42930670790054e-24	0.279614016419958	0.561	0.411	2.24243929402516e-20	0	BBX
MACF1	1.73462718500373e-24	0.251269238412934	0.48	0.33	2.72145659055236e-20	0	MACF1
PPP2R5C	3.77979059737416e-24	0.268465439131345	0.547	0.404	5.93011346822033e-20	0	PPP2R5C
TLE4	9.11395380862285e-23	0.276705380346728	0.618	0.474	1.42988821303484e-18	0	TLE4
SF1	9.65610582362894e-23	0.253143032764648	0.816	0.729	1.51494644266914e-18	0	SF1
EBF1	1.67291748857e-22	0.251145231144847	0.68	0.53	2.62464024781748e-18	0	EBF1
ZEB2	1.64667068967156e-17	0.252169662549858	0.718	0.622	2.58346164502571e-13	0	ZEB2
CITED2	5.12309036868475e-16	0.25018916763219	0.384	0.271	8.03761647942951e-12	0	CITED2
PDLIM1	1.8309554033336e-13	0.305139423905097	0.659	0.61	2.87258593229009e-09	0	PDLIM1
RPL23A	4.80689602337385e-181	0.837714485858298	1	0.999	7.54153917107124e-177	1	RPL23A
RPL19	2.50550173207612e-170	0.738955082082522	1	1	3.93088166745423e-166	1	RPL19
RPL26	1.72978999901026e-161	0.71677760951976	1	0.999	2.7138675294472e-157	1	RPL26
RPS20	5.75465244694034e-160	0.721107596951382	1	0.998	9.02847422400469e-156	1	RPS20
RPL27	4.39076585582027e-144	0.620514779187451	1	0.998	6.88867255119642e-140	1	RPL27
RPS6	1.08528285618002e-135	0.576049279306778	1	1	1.70270027306083e-131	1	RPS6
RPL30	9.80207327260632e-134	0.612415432100567	1	0.998	1.53784727573921e-129	1	RPL30
RPS26	1.14112093244921e-130	0.827134063280039	0.979	0.92	1.79030463091956e-126	1	RPS26
RPS2	2.95412923232861e-130	0.57045197436837	1	0.999	4.63473335260036e-126	1	RPS2
RPL36A	2.48397697574773e-129	0.703861978820341	0.994	0.973	3.89711147725062e-125	1	RPL36A
RPL38	9.42530152286195e-129	0.58242812142928	0.999	0.998	1.47873555592181e-124	1	RPL38
RPL8	1.06142624183738e-128	0.510126765420719	1	1	1.66527163081867e-124	1	RPL8
RPS17	6.34432191546427e-123	0.613854861380692	1	1	9.95360665317189e-119	1	RPS17
RPL6	1.18502574958812e-120	0.528202938147917	1	0.999	1.85918689852881e-116	1	RPL6
RPL10	4.75742763482147e-120	0.393015852890947	1	0.999	7.46392821627141e-116	1	RPL10
RPL5	4.15202979028423e-119	0.544449313257271	1	0.998	6.51411953797693e-115	1	RPL5
RPL7	2.99985870459068e-118	0.503960111446679	1	0.999	4.70647832163232e-114	1	RPL7
RPS23	3.7173563010349e-117	0.436641908613074	1	0.999	5.83216030069366e-113	1	RPS23
RPLP0	1.29361404258797e-110	0.569677752781069	1	0.996	2.02955107141627e-106	1	RPLP0
RPL9	1.38979050886614e-104	0.449753685989352	1	0.999	2.18044232936009e-100	1	RPL9
RPL23	2.82467985792967e-96	0.48840780062873	0.999	0.994	4.43164022910586e-92	1	RPL23
RPS16	2.26896751522286e-95	0.421803221513094	1	0.999	3.55978313463314e-91	1	RPS16
EEF1B2	6.2292698877206e-92	0.642648998506171	0.981	0.924	9.77310152684484e-88	1	EEF1B2
RPS24	8.43564499561833e-91	0.41449998783137	1	0.998	1.32346834336256e-86	1	RPS24
RPSA	2.81455276507373e-90	0.495674317054185	1	0.995	4.41575183312417e-86	1	RPSA
RPLP1	1.6248169756822e-85	0.484432844442499	1	1	2.54917535314781e-81	1	RPLP1
RPL32	4.73341854920352e-85	0.372187049701162	1	1	7.4262603618454e-81	1	RPL32
RPS5	5.35829717659596e-81	0.436188931441767	1	0.999	8.4066324403614e-77	1	RPS5
RPL18A	1.79035808348563e-78	0.35001410852559	1	1	2.8088927971806e-74	1	RPL18A
RPL4	2.84213588327663e-78	0.447902655730076	0.999	0.988	4.45902698727271e-74	1	RPL4
RPS4X	4.186360573173e-78	0.367121914403008	1	0.999	6.56798110325112e-74	1	RPS4X
NACA	1.52374713296284e-77	0.453080846539308	0.999	0.98	2.39060687690541e-73	1	NACA
RPL13	2.49839863626036e-77	0.306020516251326	1	1	3.91973762042887e-73	1	RPL13
IFITM3	8.37181525765706e-76	0.663158386693673	0.501	0.224	1.31345409577382e-71	1	IFITM3
RPS13	1.10924190077672e-75	0.37891195029667	0.999	0.999	1.7402896181286e-71	1	RPS13
RPS7	4.54635318465182e-75	0.387819365479958	1	0.999	7.13277351140023e-71	1	RPS7
RPS3	1.09871946588836e-74	0.312737762878991	1	1	1.72378097003224e-70	1	RPS3
SNHG25	2.01294744701607e-74	0.715203008001622	0.643	0.341	3.15811324962351e-70	1	SNHG25
RPL22	8.3782580489327e-74	0.412234291826579	0.999	0.995	1.31446490529705e-69	1	RPL22
RPL31	1.44638010119655e-72	0.373354914958969	1	0.999	2.26922574076726e-68	1	RPL31
RPLP2	3.73869358911385e-70	0.336963884949452	1	1	5.86563637196071e-66	1	RPLP2
GNB2L1	2.72030839676623e-66	0.353429521611945	1	0.997	4.26789184368653e-62	1	GNB2L1
SLC25A6	4.965141414252e-66	0.499517155115788	0.995	0.979	7.78981036481996e-62	1	SLC25A6
RPS14	1.12299493500685e-64	0.319706780850998	1	1	1.76186675353225e-60	1	RPS14
RPL7A	2.25426473083587e-62	0.342383046265059	1	0.999	3.53671593620839e-58	1	RPL7A
RPL14	3.63485893567137e-62	0.334426933558757	1	0.999	5.70273018417482e-58	1	RPL14
RPL28	8.2053223744983e-60	0.319166861835743	1	0.999	1.28733302733504e-55	1	RPL28
RPS21	3.26965776955429e-56	0.431370391911196	0.997	0.985	5.12976607465372e-52	1	RPS21
RPL29	3.96095470949658e-56	0.283777035062892	1	0.999	6.21434184372918e-52	1	RPL29
NME1	5.2101900059317e-56	0.55315425097907	0.51	0.265	8.17426710030624e-52	1	NME1
SNHG8	9.76564238938066e-56	0.50656531141935	0.799	0.603	1.53213163446993e-51	1	SNHG8
RPS27A	1.28373134520935e-55	0.277905650210235	1	1	2.01404610749894e-51	1	RPS27A
EIF5A	7.77097749523582e-54	0.57507131564999	0.815	0.646	1.21918865922755e-49	1	EIF5A
C8orf59	8.34556858216271e-54	0.431662861643084	0.631	0.371	1.30933625485551e-49	1	C8orf59
ATP5G1	8.70075534343972e-53	0.527623966395448	0.615	0.39	1.36506150583226e-48	1	ATP5G1
C1QBP	1.11466061165104e-52	0.608595099442124	0.708	0.511	1.74879103361931e-48	1	C1QBP
EIF3H	5.34523615778223e-49	0.46210013651164	0.838	0.687	8.38614100794453e-45	1	EIF3H
RPL41	9.73217200585381e-49	0.306574264417371	1	1	1.5268804659984e-44	1	RPL41
RPS9	2.94249413676371e-48	0.272980726795494	0.999	0.998	4.61647905116859e-44	1	RPS9
ACTG1	3.3844463346266e-48	0.379491777456066	0.999	0.996	5.30985785439568e-44	1	ACTG1
RPS8	7.58956092326534e-48	0.32685494844814	1	0.999	1.1907262132511e-43	1	RPS8
RPL24	8.46780371417865e-48	0.310082818938448	0.999	0.989	1.32851372471749e-43	1	RPL24
RPS10	9.58512192625923e-48	0.378229471721248	0.988	0.962	1.50380977901081e-43	1	RPS10
RPL18	1.88332720412856e-47	0.261155479019888	1	0.999	2.9547520505573e-43	1	RPL18
EEF1D	6.29051544258018e-47	0.338554555734776	0.995	0.967	9.86918967786404e-43	1	EEF1D
MZT2B	2.69204330465009e-43	0.448572986711193	0.788	0.614	4.22354674066552e-39	1	MZT2B
ZNF90	3.71437646963287e-43	0.561809200390582	0.51	0.279	5.82748524320701e-39	1	ZNF90
VIM	6.55517740030705e-43	0.474463976393698	0.867	0.726	1.02844178233417e-38	1	VIM
H1FX	2.51650451856102e-42	0.521427373903069	0.8	0.628	3.94814393917038e-38	1	H1FX
LY6E	5.30695659197876e-42	0.466701393818439	0.612	0.384	8.32608419715548e-38	1	LY6E
RPL10A	2.11781249817047e-40	0.250353181704587	1	1	3.32263602837965e-36	1	RPL10A
EGFL7	2.19395159289007e-40	0.30776437312744	0.274	0.104	3.44209065408523e-36	1	EGFL7
FABP5	2.66572846296515e-40	0.610639151484237	0.609	0.435	4.18226138554602e-36	1	FABP5
RPS25	2.06408430350485e-38	0.254355516912092	1	0.999	3.23834186376876e-34	1	RPS25
RPS4Y1	7.29847135165419e-37	0.35316292231939	0.948	0.888	1.14505717036103e-32	1	RPS4Y1
RPL35	9.11784582422752e-37	0.323655633115158	0.999	0.999	1.43049883136305e-32	1	RPL35
EIF4EBP1	1.34165985405154e-35	0.358262350663379	0.419	0.228	2.10493014502146e-31	1	EIF4EBP1
CD81	4.02583686062058e-35	0.317098263175313	0.74	0.516	6.31613545062763e-31	1	CD81
YBX1	4.30826199838695e-35	0.361351019242854	0.99	0.97	6.75923224926929e-31	1	YBX1
NDUFB11	1.74988561715665e-34	0.362574710940976	0.844	0.714	2.74539554475708e-30	1	NDUFB11
NACA2	4.09495164052914e-33	0.369136086648692	0.311	0.144	6.42456962882617e-29	1	NACA2
RPS15	4.35192685583205e-33	0.253900739469473	1	0.999	6.82773804411491e-29	1	RPS15
RAB34	6.36032780628277e-33	0.291897480234103	0.4	0.213	9.97871829527703e-29	1	RAB34
SNRPD1	3.98304335345332e-32	0.406478359219916	0.715	0.564	6.24899671723292e-28	1	SNRPD1
MT-ND1	5.45511320407649e-32	0.284908574051981	0.999	0.993	8.55852710587561e-28	1	MT-ND1
MDH2	2.39525002784976e-31	0.30261964756541	0.552	0.355	3.75790776869349e-27	1	MDH2
S100A4	5.84544723492637e-31	0.872901590782886	0.741	0.627	9.17092216687598e-27	1	S100A4
PFN1	1.87125625584801e-30	0.30764403104931	0.98	0.938	2.93581393979994e-26	1	PFN1
ENO1	3.01178205645972e-30	0.473343957845116	0.8	0.699	4.72518486837965e-26	1	ENO1
STRA13	1.89188295970361e-29	0.320095295736493	0.416	0.244	2.968175175479e-25	1	STRA13
UQCRB	3.18148754067799e-29	0.290116507308015	0.968	0.921	4.9914358025697e-25	1	UQCRB
TXN	1.25085238367375e-28	0.394123491102285	0.659	0.52	1.96246230474574e-24	1	TXN
ACAA2	1.51999799012064e-28	0.272419369118888	0.402	0.227	2.38472484670028e-24	1	ACAA2
COX6C	2.61611891286585e-28	0.284250801408497	0.946	0.88	4.10442896239523e-24	1	COX6C
TIMP1	4.72333580947605e-28	0.437635301155175	0.523	0.354	7.41044155148698e-24	1	TIMP1
IKZF1	4.48821430595472e-27	0.376254493628539	0.599	0.442	7.04155942461236e-23	1	IKZF1
CLEC11A	1.21259986659746e-26	0.433217515343865	0.477	0.325	1.90244793070475e-22	1	CLEC11A
NDUFB9	4.04648782810756e-26	0.318388666985184	0.627	0.475	6.34853475351796e-22	1	NDUFB9
PARK7	8.24144511842407e-26	0.303148933099258	0.761	0.618	1.29300032462955e-21	1	PARK7
PKM	9.10335006993249e-26	0.334737880921613	0.754	0.633	1.42822459247171e-21	1	PKM
MZT2A	1.0156965764585e-25	0.314715899894747	0.604	0.442	1.59352635880573e-21	1	MZT2A
MRPL12	3.06746884123306e-25	0.295403349097042	0.375	0.221	4.81255186501055e-21	1	MRPL12
MSH6	3.06903909949809e-25	0.290109192727015	0.376	0.218	4.81501544320255e-21	1	MSH6
SYNGR1	4.03734812526966e-25	0.29009391418697	0.34	0.191	6.33419547373556e-21	1	SYNGR1
PPA1	5.28500291166923e-25	0.26431703787596	0.384	0.22	8.29164106811786e-21	1	PPA1
PSME2	5.4908517145488e-25	0.340509531062234	0.693	0.554	8.61459725495562e-21	1	PSME2
SRM	8.51170290267107e-25	0.301195953188506	0.441	0.275	1.33540106840006e-20	1	SRM
IMPDH2	9.61499407899961e-25	0.309462072139049	0.519	0.35	1.50849642105425e-20	1	IMPDH2
VAMP8	1.05458951266848e-24	0.300508147473913	0.671	0.515	1.65454548642558e-20	1	VAMP8
TMEM256	1.89383431944719e-24	0.290369331458127	0.593	0.428	2.9712366637807e-20	1	TMEM256
GADD45GIP1	2.64750214041489e-24	0.274838882015317	0.515	0.346	4.15366610809692e-20	1	GADD45GIP1
RBM3	2.77252562984298e-24	0.297850361272185	0.799	0.684	4.34981546066066e-20	1	RBM3
CD99	7.35732064826898e-24	0.465332418285257	0.774	0.667	1.15429003650692e-19	1	CD99
PTP4A2	1.02379550863352e-23	0.321177753865202	0.702	0.553	1.60623277349514e-19	1	PTP4A2
MT-ND2	1.88470799701149e-23	0.287130178274643	1	0.997	2.95691837651133e-19	1	MT-ND2
PTP4A3	3.61469476236755e-23	0.26639267717328	0.297	0.157	5.67109461267845e-19	1	PTP4A3
EIF3E	9.33958834022252e-23	0.264875402701232	0.965	0.928	1.46528801469751e-18	1	EIF3E
RPL12	9.6406743657482e-23	0.253738730138148	1	1	1.51252540124223e-18	1	RPL12
PRDX4	3.43221260007941e-22	0.257633461868035	0.353	0.207	5.38479834826458e-18	1	PRDX4
TPT1	3.54746202629754e-22	0.25510249156569	1	0.998	5.56561317305822e-18	1	TPT1
EMP3	1.8809754549647e-21	0.481150623799364	0.659	0.526	2.95106239129412e-17	1	EMP3
ANAPC11	2.83552232748515e-21	0.296612661835606	0.659	0.527	4.44865097959145e-17	1	ANAPC11
LDHA	6.34455541847733e-21	0.313223156489935	0.714	0.584	9.95397299604909e-17	1	LDHA
CYC1	7.79824510388565e-21	0.269132934978671	0.519	0.369	1.22346667434862e-16	1	CYC1
SNRPE	9.8144893396383e-21	0.288527998414089	0.715	0.605	1.53979523249585e-16	1	SNRPE
PSMA7	3.37626783226186e-20	0.322705613541904	0.809	0.707	5.29702660203563e-16	1	PSMA7
CHCHD2	4.27084066338454e-20	0.255161954427701	0.947	0.9	6.700521916784e-16	1	CHCHD2
APEX1	4.56792088119535e-20	0.299572537550441	0.71	0.59	7.16661107050738e-16	1	APEX1
COX5A	5.41189835354607e-20	0.261988563124436	0.623	0.477	8.49072732687842e-16	1	COX5A
VPREB1	6.63638762925564e-20	0.276460908890328	0.989	0.979	1.04118285515392e-15	1	VPREB1
SNRPB	4.01214315961719e-19	0.275773517664472	0.728	0.62	6.2946514031234e-15	1	SNRPB
HN1	5.02355253793794e-19	0.266124830725525	0.492	0.35	7.88145157677083e-15	1	HN1
NAA38	2.71963812051821e-18	0.295283388559174	0.625	0.505	4.26684024728101e-14	1	NAA38
PHB	5.30983663033722e-17	0.264466690297428	0.656	0.543	8.33060268933607e-13	1	PHB
RSL1D1	2.01722291894788e-16	0.253857377154215	0.542	0.409	3.16482103753732e-12	1	RSL1D1
RP11-386I14.4	2.32340448475611e-16	0.318470442603172	0.331	0.209	3.64518929613386e-12	1	RP11-386I14.4
RP11-160E2.6	4.26501609447359e-16	0.263768809376283	0.385	0.258	6.69138375061962e-12	1	RP11-160E2.6
CMTM8	1.1000788288222e-15	0.288033811999381	0.483	0.344	1.72591367453915e-11	1	CMTM8
DONSON	1.00061774711853e-14	0.295616973825067	0.379	0.268	1.56986918345426e-10	1	DONSON
PA2G4	3.19477735131921e-14	0.305874009949081	0.606	0.512	5.01228618648471e-10	1	PA2G4
SET	1.11282029035216e-12	0.277605460931928	0.837	0.755	1.7459037535335e-08	1	SET
TUBA1B	1.83497420079461e-12	0.370575180942934	0.884	0.873	2.87889102362666e-08	1	TUBA1B
ANXA2	1.90185190808005e-12	0.25506614049129	0.448	0.34	2.98381545858679e-08	1	ANXA2
NKG7	1.30253159448965e-11	0.324418842625102	0.512	0.415	2.04354181859481e-07	1	NKG7
PLP2	2.47440992163146e-11	0.27433160615105	0.597	0.509	3.88210172604761e-07	1	PLP2
RPS4Y2	1.02145559698343e-10	0.35065838793671	0.736	0.648	1.60256168610731e-06	1	RPS4Y2
IFITM2	1.1021479715647e-10	0.265232718856599	0.718	0.646	1.72915995258786e-06	1	IFITM2
TRAC	3.1078262378272e-10	0.407431900735159	0.403	0.316	4.87586858452709e-06	1	TRAC
NCL	3.30382547562525e-10	0.256363687322534	0.89	0.838	5.18337178870846e-06	1	NCL
LTB	3.62968987281803e-08	0.414569496613059	0.597	0.523	0.000569462044146421	1	LTB
ISG15	2.87764039994389e-06	0.377912950957567	0.322	0.259	0.0451473002347197	1	ISG15
S100A6	0.000188071381956742	0.316598187626324	0.527	0.501	1	1	S100A6
IGKC	2.96133713758263e-249	2.07898837695419	0.843	0.31	4.64604183515339e-245	2	IGKC
UCP2	2.5833477115509e-194	1.11109686434179	0.812	0.351	4.05301422465221e-190	2	UCP2
C16orf74	6.5794475489198e-192	0.798454095236502	0.531	0.094	1.03224952595003e-187	2	C16orf74
CD79B	4.07149211541478e-184	1.5474808117097	0.959	0.924	6.38776397987425e-180	2	CD79B
LIMD2	8.41245011667242e-162	1.24017016933109	0.85	0.511	1.31982929880474e-157	2	LIMD2
IGLC5	1.46497432369613e-149	0.457741426684129	0.285	0.018	2.29839821644685e-145	2	IGLC5
CD52	1.36430785795176e-133	1.25822654367154	0.948	0.848	2.14046259834051e-129	2	CD52
IGLL5	3.90423405428869e-132	1.23233641549125	0.322	0.042	6.12535280777352e-128	2	IGLL5
TMSB10	5.87572482146811e-120	0.601677428327437	0.998	1	9.21842467240132e-116	2	TMSB10
CD37	5.94817905450644e-120	1.27218924469949	0.864	0.809	9.33209811861515e-116	2	CD37
P2RX5	4.85562535084948e-109	0.529082817684639	0.387	0.085	7.61799061294775e-105	2	P2RX5
CRIP1	9.78755055522452e-105	0.750500115437012	0.468	0.138	1.53556880660918e-100	2	CRIP1
PCDH9	1.90470834784121e-96	0.662298733192327	0.547	0.2	2.98829692692807e-92	2	PCDH9
TAGLN2	3.09501781495567e-96	0.856774529652174	0.627	0.292	4.85577344988396e-92	2	TAGLN2
IGLC3	3.60349878362825e-93	0.724627710446433	0.411	0.116	5.65352924163436e-89	2	IGLC3
RPS261	6.73942323625251e-92	0.710756694232261	0.976	0.923	1.05734811153566e-87	2	RPS26
RP11-406H23.2	4.78495469553226e-89	0.587898691506093	0.333	0.077	7.50711542182056e-85	2	RP11-406H23.2
ACTB	4.12143739062194e-87	0.627476517662947	0.995	1	6.46612312214676e-83	2	ACTB
CXXC5	1.13479509729116e-84	0.365198966675111	0.271	0.048	1.78038002814011e-80	2	CXXC5
IGLC2	1.03850613948317e-82	0.885429341965866	0.532	0.228	1.62931228223515e-78	2	IGLC2
AES	1.63671876819915e-80	0.84523585267492	0.827	0.702	2.56784807542764e-76	2	AES
TMEM156	1.15312829651869e-78	0.765295611417572	0.469	0.182	1.80914298440817e-74	2	TMEM156
MS4A1	5.18750306867351e-78	0.788298342347754	0.547	0.234	8.13867356444187e-74	2	MS4A1
SPIB	1.2465998655122e-76	0.624295276938234	0.565	0.252	1.95579052900209e-72	2	SPIB
LYN	1.60727882879195e-76	0.402252596001946	0.371	0.108	2.5216597544917e-72	2	LYN
IGHG3	9.84674892400216e-73	0.328416306694298	0.252	0.05	1.5448564386867e-68	2	IGHG3
RHOH	2.35075627084353e-71	0.570023283374181	0.629	0.334	3.68810151332641e-67	2	RHOH
PLAC8	1.48746653777793e-70	1.38187505207039	0.691	0.487	2.3336862511198e-66	2	PLAC8
P4HA2	4.98693816990293e-69	0.463546569620391	0.369	0.119	7.82400729476071e-65	2	P4HA2
YBX3	8.13159083137932e-69	0.979007313576316	0.858	0.852	1.2757652855351e-64	2	YBX3
MID1IP1	4.48445547618758e-68	0.771265770401737	0.611	0.349	7.03566219659069e-64	2	MID1IP1
HERPUD1	2.08808858567513e-67	0.587250230941018	0.507	0.223	3.27600218206571e-63	2	HERPUD1
FAM107B	6.13615895763834e-67	0.609235340162436	0.665	0.384	9.6270197886388e-63	2	FAM107B
CD811	2.42061761996241e-65	0.816017076772125	0.715	0.531	3.79770698395903e-61	2	CD81
RPL301	7.82426930990158e-65	0.398579648800319	0.995	1	1.22754961203046e-60	2	RPL30
ACTG11	1.58439494706013e-64	0.584582718050565	0.988	0.999	2.48575723244264e-60	2	ACTG1
RPL261	4.31847705240771e-64	0.39466166462616	0.996	1	6.77525864752246e-60	2	RPL26
FCMR	4.39199135836283e-64	0.427784582674034	0.393	0.142	6.89059524213544e-60	2	FCMR
CD38	1.69630127850485e-63	0.473583662931316	0.433	0.17	2.66132707584625e-59	2	CD38
PLD4	5.81790429923194e-63	0.457414583525089	0.425	0.165	9.12771005506500e-59	2	PLD4
KLF3	6.24385825089736e-63	0.573147571575141	0.441	0.186	9.79598920983287e-59	2	KLF3
CLEC2D	1.947265529319e-62	0.52164320632668	0.66	0.374	3.05506488894858e-58	2	CLEC2D
EEF1D1	6.63450733703044e-61	0.409150616299675	0.984	0.971	1.04088785610671e-56	2	EEF1D
LHPP	2.47005617996362e-60	0.397512589703817	0.361	0.124	3.87527114074492e-56	2	LHPP
JCHAIN	2.98044384689275e-60	0.744937521082964	0.369	0.132	4.67601835139004e-56	2	JCHAIN
HRK	8.49232765121788e-60	0.467823703383518	0.391	0.145	1.33236128519957e-55	2	HRK
FAM65B	4.61080751639864e-59	0.549462534729399	0.598	0.331	7.23389591247782e-55	2	FAM65B
ARPC3	2.87974355751024e-57	0.452512457933452	0.962	0.923	4.51802966737781e-53	2	ARPC3
IGHM	8.20264382930564e-57	1.13504856716419	0.802	0.675	1.28691279037976e-52	2	IGHM
CXCR4	2.43205113471223e-56	0.676936103758069	0.945	0.911	3.81564502525002e-52	2	CXCR4
BLK	1.5849084989889e-52	0.570065996415506	0.546	0.307	2.48656294406369e-48	2	BLK
RPL37	2.2466513838828e-51	0.319449905983443	0.999	1	3.52477135617373e-47	2	RPL37
RHOC	7.55908638210767e-51	0.504020635433504	0.43	0.202	1.18594506248887e-46	2	RHOC
SMIM14	2.84082815033372e-50	0.60646971877159	0.6	0.375	4.45697528505857e-46	2	SMIM14
SNHG7	1.34039665297383e-49	0.566259572646463	0.75	0.569	2.10294830885064e-45	2	SNHG7
RPL23A1	2.01605429290389e-49	0.341853992752405	0.996	1	3.16298758013692e-45	2	RPL23A
RPL191	7.50136459185944e-49	0.290221448298949	0.999	1	1.17688909081683e-44	2	RPL19
PFN11	1.49737366134581e-48	0.477144169991174	0.965	0.944	2.34922953728544e-44	2	PFN1
S1PR4	2.91965937473351e-48	0.605532957080543	0.629	0.421	4.5806535930194e-44	2	S1PR4
LGALS9	2.18528959135918e-47	0.444201504920984	0.559	0.319	3.42850083988342e-43	2	LGALS9
ANXA4	2.42459363799422e-47	0.342253475583396	0.262	0.083	3.80394495864913e-43	2	ANXA4
HLA-DQB1	3.27164677092138e-47	0.627081904563554	0.822	0.727	5.13288661889855e-43	2	HLA-DQB1
RPS27A1	4.17499130083158e-47	0.259494461203861	1	1	6.55014385187467e-43	2	RPS27A
SPINT2	6.89782714082983e-47	0.486448897792909	0.607	0.391	1.08220010012479e-42	2	SPINT2
CORO1A	8.84948020564784e-47	0.533205538605421	0.826	0.688	1.38839494946409e-42	2	CORO1A
VAMP81	1.27729699615998e-46	0.491634077777961	0.726	0.506	2.00395125727539e-42	2	VAMP8
TRAF3IP3	1.31429545807644e-46	0.410350264837809	0.417	0.19	2.06199814417613e-42	2	TRAF3IP3
MT-CYB	2.87194296274287e-46	0.417938590936981	0.993	1	4.50579131424729e-42	2	MT-CYB
LBH	1.29966053575303e-45	0.355517275163473	0.365	0.152	2.03903741454292e-41	2	LBH
BACH2	1.45855218048065e-45	0.415792672090784	0.553	0.302	2.28832251595609e-41	2	BACH2
H1FX1	7.07172551895944e-45	0.864177816042022	0.768	0.643	1.10948301666955e-40	2	H1FX
LY6E1	2.38013410410176e-44	0.644017604298849	0.601	0.395	3.73419239592526e-40	2	LY6E
UBB	1.38422356300017e-43	0.379774074392132	0.995	0.987	2.17170834799097e-39	2	UBB
HLA-DMB	2.43108941053171e-43	0.606535143038382	0.694	0.535	3.81413617618321e-39	2	HLA-DMB
PTPN6	4.22460897636592e-43	0.432724374934581	0.521	0.29	6.62798902302049e-39	2	PTPN6
HLA-DQA1	5.10114749108278e-43	0.707938646356279	0.609	0.437	8.00319029875978e-39	2	HLA-DQA1
RPS161	1.33581753103281e-42	0.295246425624749	0.996	1	2.09576412443737e-38	2	RPS16
FAU	1.06458955212361e-41	0.263310848874423	0.999	1	1.67023454832673e-37	2	FAU
CD74	4.94599317657299e-41	0.401598806895583	0.984	1	7.75976869472536e-37	2	CD74
